run_id,phase,track,metric,stratum,condition,n,numerator,denominator,value,ci_lower,ci_upper,threshold,passed,not_applicable_reason
20260725T170041Z,1.0C,track-b,semantic_accuracy,all,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,all,r1_style_thinking,150,29,150,0.193333,0.138119,0.263863,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,all,r1_style_thinking,150,30,150,0.2,0.143841,0.271141,0.1,false,
20260725T170041Z,1.0C,track-b,triage_parse_valid_rate,all,r1_style_thinking,150,100,150,0.666667,0.587898,0.737112,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,all,r1_style_thinking,150,18,150,0.12,0.077269,0.181708,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,all,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,all,visible_cot,150,50,150,0.333333,0.262888,0.412102,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,all,visible_cot,150,27,150,0.18,0.126758,0.249223,0.1,false,
20260725T170041Z,1.0C,track-b,triage_parse_valid_rate,all,visible_cot,150,88,150,0.586667,0.506659,0.662347,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,all,visible_cot,150,26,150,0.173333,0.121121,0.24186,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|easy,r1_style_thinking,10,6,10,0.6,0.312674,0.83182,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|easy,r1_style_thinking,10,7,10,0.7,0.396778,0.892209,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|easy,r1_style_thinking,10,0,10,0.0,0.0,0.277533,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|easy,r1_style_thinking,10,8,10,0.8,0.490162,0.943318,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|easy,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|easy,visible_cot,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|easy,visible_cot,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|easy,visible_cot,10,0,10,0.0,0.0,0.277533,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|easy,visible_cot,10,10,10,1.0,0.722467,1.0,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|easy,visible_cot,10,1,10,0.1,0.017876,0.40415,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|hard,r1_style_thinking,10,2,10,0.2,0.056682,0.509838,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|hard,r1_style_thinking,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|hard,r1_style_thinking,10,0,10,0.0,0.0,0.277533,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|hard,r1_style_thinking,10,6,10,0.6,0.312674,0.83182,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|hard,r1_style_thinking,10,3,10,0.3,0.107791,0.603222,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|hard,visible_cot,10,10,10,1.0,0.722467,1.0,0.7-0.9,false,
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|hard,visible_cot,10,6,10,0.6,0.312674,0.83182,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|hard,visible_cot,10,6,10,0.6,0.312674,0.83182,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|hard,visible_cot,10,1,10,0.1,0.017876,0.40415,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|hard,visible_cot,10,7,10,0.7,0.396778,0.892209,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|hard,visible_cot,10,0,10,0.0,0.0,0.277533,0.0,true,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|medium,r1_style_thinking,10,7,10,0.7,0.396778,0.892209,0.7-0.9,false,
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|medium,r1_style_thinking,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|medium,r1_style_thinking,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|medium,r1_style_thinking,10,0,10,0.0,0.0,0.277533,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|medium,r1_style_thinking,10,6,10,0.6,0.312674,0.83182,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|medium,r1_style_thinking,10,0,10,0.0,0.0,0.277533,0.0,true,
20260725T170041Z,1.0C,track-b,semantic_accuracy,arithmetic|medium,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,arithmetic|medium,visible_cot,10,7,10,0.7,0.396778,0.892209,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,arithmetic|medium,visible_cot,10,7,10,0.7,0.396778,0.892209,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,arithmetic|medium,visible_cot,10,0,10,0.0,0.0,0.277533,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,arithmetic|medium,visible_cot,10,7,10,0.7,0.396778,0.892209,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,arithmetic|medium,visible_cot,10,2,10,0.2,0.056682,0.509838,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,counterfactual_entity_replacement|easy,r1_style_thinking,10,4,10,0.4,0.16818,0.687326,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,counterfactual_entity_replacement|easy,r1_style_thinking,10,2,10,0.2,0.056682,0.509838,0.1,false,
20260725T170041Z,1.0C,track-b,ambiguous_rate,counterfactual_entity_replacement|easy,r1_style_thinking,10,4,10,0.4,0.16818,0.687326,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,counterfactual_entity_replacement|easy,r1_style_thinking,10,8,10,0.8,0.490162,0.943318,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,counterfactual_entity_replacement|easy,r1_style_thinking,10,4,10,0.4,0.16818,0.687326,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,counterfactual_entity_replacement|easy,visible_cot,10,3,10,0.3,0.107791,0.603222,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,counterfactual_entity_replacement|easy,visible_cot,10,1,10,0.1,0.017876,0.40415,0.1,true,
20260725T170041Z,1.0C,track-b,ambiguous_rate,counterfactual_entity_replacement|easy,visible_cot,10,5,10,0.5,0.236593,0.763407,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,counterfactual_entity_replacement|easy,visible_cot,10,8,10,0.8,0.490162,0.943318,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,counterfactual_entity_replacement|easy,visible_cot,10,3,10,0.3,0.107791,0.603222,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,counterfactual_entity_replacement|hard,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.1,true,
20260725T170041Z,1.0C,track-b,no_answer_rate,counterfactual_entity_replacement|hard,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.1,true,
20260725T170041Z,1.0C,track-b,ambiguous_rate,counterfactual_entity_replacement|hard,r1_style_thinking,10,4,10,0.4,0.16818,0.687326,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,counterfactual_entity_replacement|hard,r1_style_thinking,10,10,10,1.0,0.722467,1.0,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,counterfactual_entity_replacement|hard,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|hard,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,counterfactual_entity_replacement|hard,visible_cot,10,4,10,0.4,0.16818,0.687326,0.1,false,
20260725T170041Z,1.0C,track-b,no_answer_rate,counterfactual_entity_replacement|hard,visible_cot,10,1,10,0.1,0.017876,0.40415,0.1,true,
20260725T170041Z,1.0C,track-b,ambiguous_rate,counterfactual_entity_replacement|hard,visible_cot,10,5,10,0.5,0.236593,0.763407,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,counterfactual_entity_replacement|hard,visible_cot,10,10,10,1.0,0.722467,1.0,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,counterfactual_entity_replacement|hard,visible_cot,10,4,10,0.4,0.16818,0.687326,0.0,false,
20260725T170041Z,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|medium,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
20260725T170041Z,1.0C,track-b,truncation_rate,counterfactual_entity_replacement|medium,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.1,true,
20260725T170041Z,1.0C,track-b,no_answer_rate,counterfactual_entity_replacement|medium,r1_style_thinking,10,0,10,0.0,0.0,0.277533,0.1,true,
20260725T170041Z,1.0C,track-b,ambiguous_rate,counterfactual_entity_replacement|medium,r1_style_thinking,10,2,10,0.2,0.056682,0.509838,,,
20260725T170041Z,1.0C,track-b,semantic_review_rate,counterfactual_entity_replacement|medium,r1_style_thinking,10,6,10,0.6,0.312674,0.83182,,,
20260725T170041Z,1.0C,track-b,unresolved_label_rate,counterfactual_entity_replacement|medium,r1_style_thinking,10,1,10,0.1,0.017876,0.40415,0.0,false,
