run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
20260725T170041Z,arithmetic|easy|r1_style_thinking,arithmetic,easy,r1_style_thinking,10,2,,,,0.6,0.7,8,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|easy|visible_cot,arithmetic,easy,visible_cot,10,0,,,,0.3,0.3,10,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|hard|r1_style_thinking,arithmetic,hard,r1_style_thinking,10,4,,,,0.2,0.3,6,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|hard|visible_cot,arithmetic,hard,visible_cot,10,3,,,,0.6,0.6,7,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|medium|r1_style_thinking,arithmetic,medium,r1_style_thinking,10,4,,,,0.3,0.3,6,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|medium|visible_cot,arithmetic,medium,visible_cot,10,3,,,,0.7,0.7,7,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|easy|r1_style_thinking,counterfactual_entity_replacement,easy,r1_style_thinking,10,2,,,,0.4,0.2,8,false,not_adjudicated,incomplete_review_coverage;no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|easy|visible_cot,counterfactual_entity_replacement,easy,visible_cot,10,2,,,,0.3,0.1,8,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|hard|r1_style_thinking,counterfactual_entity_replacement,hard,r1_style_thinking,10,0,,,,0.1,0.1,10,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|hard|visible_cot,counterfactual_entity_replacement,hard,visible_cot,10,0,,,,0.4,0.1,10,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|medium|r1_style_thinking,counterfactual_entity_replacement,medium,r1_style_thinking,10,4,,,,0.1,0.0,6,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|medium|visible_cot,counterfactual_entity_replacement,medium,visible_cot,10,0,,,,0.6,0.0,10,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|easy|r1_style_thinking,prompt_grounded_two_hop_factual,easy,r1_style_thinking,10,4,,,,0.1,0.1,6,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|easy|visible_cot,prompt_grounded_two_hop_factual,easy,visible_cot,10,5,,,,0.0,0.0,5,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|hard|r1_style_thinking,prompt_grounded_two_hop_factual,hard,r1_style_thinking,10,0,,,,0.0,0.0,10,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|hard|visible_cot,prompt_grounded_two_hop_factual,hard,visible_cot,10,4,,,,0.2,0.0,6,false,not_adjudicated,incomplete_review_coverage;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|medium|r1_style_thinking,prompt_grounded_two_hop_factual,medium,r1_style_thinking,10,5,,,,0.1,0.1,5,false,not_adjudicated,incomplete_review_coverage;unresolved_semantic_labels_present
