run_id,phase,track,metric,stratum,condition,n,numerator,denominator,value,ci_lower,ci_upper,threshold,passed,not_applicable_reason
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,development_no_regression_vs_parser_v2,all,public_development_60,60,60,60,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,all,public_development_60,60,60,60,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,all,adversarial_development_65,65,65,65,1.000000,not_applicable,not_applicable,0.950000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement_parser_v2_reference,all,adversarial_development_65,65,50,65,0.769231,not_applicable,not_applicable,report_only,report_only,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,boxed_final_miss,S01+S02,development_pooled_125,29,0,29,0,not_applicable,not_applicable,0,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,wrong_span,all,development_pooled_expected_present,88,0,88,0,not_applicable,not_applicable,0,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,last_number_trap,S06,development_pooled_125,9,0,9,0,not_applicable,not_applicable,0,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,material_correctness_error,all,development_pooled_125,125,0,125,0,not_applicable,not_applicable,0,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,reference_blind_extraction_structural,all,source_inspection,1,1,1,true,not_applicable,not_applicable,true,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,frozen_sources_byte_identical,all,git_diff_vs_bc6d7b7,2,2,2,true,not_applicable,not_applicable,true,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,retired_mismatch_resolution,all,retired_holdout_mismatch_4,4,not_applicable,4,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,retired parser-v2 holdout case text is not available in this worktree; the scoring ledger was shredded and the labels live in private storage this track may not read
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S01,development_pooled_125,15,15,15,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S02,development_pooled_125,14,14,14,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S03,development_pooled_125,6,6,6,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S04,development_pooled_125,7,7,7,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S05,development_pooled_125,12,12,12,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S06,development_pooled_125,9,9,9,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S07,development_pooled_125,10,10,10,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S08,development_pooled_125,7,7,7,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S09,development_pooled_125,7,7,7,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S10,development_pooled_125,13,13,13,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S11,development_pooled_125,7,7,7,1.000000,not_applicable,not_applicable,1.000000,true,
phase1-parser-v3-track-c-20260725T114448Z,phase1.2C,track-c,typed_decision_agreement,S12,development_pooled_125,18,18,18,1.000000,not_applicable,not_applicable,1.000000,true,
