run_id,phase,track,metric,stratum,condition,n,numerator,denominator,value,ci_lower,ci_upper,threshold,passed,not_applicable_reason
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,all,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,truncation_rate,all,r1_style_thinking,150,0,150,0.0,0.0,0.02497,0.1,true,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,no_answer_rate,all,r1_style_thinking,150,0,150,0.0,0.0,0.02497,0.1,true,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,triage_parse_valid_rate,all,r1_style_thinking,150,0,150,0.0,0.0,0.02497,,,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,unresolved_label_rate,all,r1_style_thinking,150,150,150,1.0,0.97503,1.0,0.0,false,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,all,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,truncation_rate,all,visible_cot,150,0,150,0.0,0.0,0.02497,0.1,true,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,no_answer_rate,all,visible_cot,150,0,150,0.0,0.0,0.02497,0.1,true,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,triage_parse_valid_rate,all,visible_cot,150,0,150,0.0,0.0,0.02497,,,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,unresolved_label_rate,all,visible_cot,150,150,150,1.0,0.97503,1.0,0.0,false,
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|hard,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|medium,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,arithmetic|medium,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|hard,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|medium,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,counterfactual_entity_replacement|medium,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|hard,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|medium,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,prompt_grounded_two_hop_factual|medium,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|easy,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|hard,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|hard,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|medium,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,synthetic_relation|medium,visible_cot,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
p10c-trackb-plan-d778736ff8a2,1.0C,track-b,semantic_accuracy,wrong_cot_error_detection|easy,r1_style_thinking,,,,,,,0.7-0.9,,labels_not_semantically_adjudicated
