run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
20260725T170041Z,arithmetic|easy|r1_style_thinking,arithmetic,easy,r1_style_thinking,10,8,,,,0.6,0.7,1,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|easy|visible_cot,arithmetic,easy,visible_cot,10,9,,,,0.3,0.3,1,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|hard|r1_style_thinking,arithmetic,hard,r1_style_thinking,10,5,,,,0.2,0.3,3,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,arithmetic|hard|visible_cot,arithmetic,hard,visible_cot,10,10,1.0,0.722467,1.0,0.6,0.6,0,true,control_sanity_high_accuracy,accuracy_above_band_control_only;no_answer_rate_above_threshold;truncation_rate_above_threshold
20260725T170041Z,arithmetic|medium|r1_style_thinking,arithmetic,medium,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.3,0.3,0,true,excluded_quality_gate,no_answer_rate_above_threshold;truncation_rate_above_threshold
20260725T170041Z,arithmetic|medium|visible_cot,arithmetic,medium,visible_cot,10,8,,,,0.7,0.7,2,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|easy|r1_style_thinking,counterfactual_entity_replacement,easy,r1_style_thinking,10,2,,,,0.4,0.2,4,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|easy|visible_cot,counterfactual_entity_replacement,easy,visible_cot,10,3,,,,0.3,0.1,3,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|hard|r1_style_thinking,counterfactual_entity_replacement,hard,r1_style_thinking,10,3,,,,0.1,0.1,1,true,not_adjudicated,unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|hard|visible_cot,counterfactual_entity_replacement,hard,visible_cot,10,0,,,,0.4,0.1,4,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|medium|r1_style_thinking,counterfactual_entity_replacement,medium,r1_style_thinking,10,5,,,,0.1,0.0,1,true,not_adjudicated,unresolved_semantic_labels_present
20260725T170041Z,counterfactual_entity_replacement|medium|visible_cot,counterfactual_entity_replacement,medium,visible_cot,10,0,,,,0.6,0.0,6,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|easy|r1_style_thinking,prompt_grounded_two_hop_factual,easy,r1_style_thinking,10,6,,,,0.1,0.1,1,true,not_adjudicated,unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|easy|visible_cot,prompt_grounded_two_hop_factual,easy,visible_cot,10,6,0.6,0.312674,0.83182,0.0,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count
20260725T170041Z,prompt_grounded_two_hop_factual|hard|visible_cot,prompt_grounded_two_hop_factual,hard,visible_cot,10,7,,,,0.2,0.0,1,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|medium|r1_style_thinking,prompt_grounded_two_hop_factual,medium,r1_style_thinking,10,6,,,,0.1,0.1,1,true,not_adjudicated,unresolved_semantic_labels_present
20260725T170041Z,prompt_grounded_two_hop_factual|medium|visible_cot,prompt_grounded_two_hop_factual,medium,visible_cot,10,4,,,,0.2,0.0,2,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|easy|r1_style_thinking,synthetic_relation,easy,r1_style_thinking,10,6,0.6,0.312674,0.83182,0.3,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count;truncation_rate_above_threshold
20260725T170041Z,synthetic_relation|easy|visible_cot,synthetic_relation,easy,visible_cot,10,8,0.8,0.490162,0.943318,0.4,0.0,0,true,excluded_quality_gate,truncation_rate_above_threshold
20260725T170041Z,synthetic_relation|hard|visible_cot,synthetic_relation,hard,visible_cot,10,7,,,,0.3,0.0,1,true,not_adjudicated,truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,synthetic_relation|medium|r1_style_thinking,synthetic_relation,medium,r1_style_thinking,10,5,0.5,0.236593,0.763407,0.1,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count
20260725T170041Z,synthetic_relation|medium|visible_cot,synthetic_relation,medium,visible_cot,10,9,0.9,0.59585,0.982124,0.4,0.1,0,true,excluded_quality_gate,truncation_rate_above_threshold
20260725T170041Z,wrong_cot_error_detection|easy|r1_style_thinking,wrong_cot_error_detection,easy,r1_style_thinking,10,2,,,,0.2,0.5,2,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|easy|visible_cot,wrong_cot_error_detection,easy,visible_cot,10,2,,,,0.3,0.4,3,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|hard|r1_style_thinking,wrong_cot_error_detection,hard,r1_style_thinking,10,2,,,,0.4,0.3,4,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|hard|visible_cot,wrong_cot_error_detection,hard,visible_cot,10,4,,,,0.1,0.2,1,true,not_adjudicated,no_answer_rate_above_threshold;unresolved_semantic_labels_present
20260725T170041Z,wrong_cot_error_detection|medium|r1_style_thinking,wrong_cot_error_detection,medium,r1_style_thinking,10,3,0.3,0.107791,0.603222,0.0,0.3,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count;no_answer_rate_above_threshold
20260725T170041Z,wrong_cot_error_detection|medium|visible_cot,wrong_cot_error_detection,medium,visible_cot,10,5,,,,0.2,0.2,2,true,not_adjudicated,no_answer_rate_above_threshold;truncation_rate_above_threshold;unresolved_semantic_labels_present
